铝片厚度 (mm),0.1,0.15,0.2,0.3,0.45,0.7,1,1.4,2
热源温度 (°C),47.51755,42.35109,39.70248,37.04856,35.15307,33.79714,32.88316,32.37769,31.84647
热阻(°C/W),22.51755,17.35109,14.70248,12.04856,10.15307,8.79714,7.88316,7.37769,6.84647
